Learning rate: 0.001, Optimizer: SGD, Scheduler: ExponentialLR
Epoch = 94, validation_Loss = 2.845240076382955, Accuracy validation= 66.66666666666667
Epoch = 95, lr = [2.7464921017933004e-08, 0.0]
Epoch = 95, Epoch_Loss = 2.4229593515396117, Accuracy = 81.08108108108108
Epoch = 95, validation_Loss = 2.8452403942743936, Accuracy validation= 66.66666666666667
Epoch = 96, lr = [2.4590394437549663e-08, 0.0]
Epoch = 96, Epoch_Loss = 2.4229591369628904, Accuracy = 81.08108108108108
Epoch = 96, validation_Loss = 2.8452401558558145, Accuracy validation= 66.66666666666667
Epoch = 97, lr = [2.2016720827248965e-08, 0.0]
Epoch = 97, Epoch_Loss = 2.4229589700698853, Accuracy = 81.08108108108108
Epoch = 97, validation_Loss = 2.845240354537964, Accuracy validation= 66.66666666666667
Epoch = 98, lr = [1.9712412389970608e-08, 0.0]
Epoch = 98, Epoch_Loss = 2.4229588866233827, Accuracy = 81.08108108108108
Epoch = 98, validation_Loss = 2.8452405532201133, Accuracy validation= 66.66666666666667
Epoch = 99, lr = [1.7649276896464175e-08, 0.0]
Epoch = 99, Epoch_Loss = 2.422958731651306, Accuracy = 81.08108108108108
Epoch = 99, validation_Loss = 2.845240672429403, Accuracy validation= 66.66666666666667
Epoch = 100, lr = [1.5802072765408933e-08, 0.0]
Epoch = 100, Epoch_Loss = 2.4229586839675905, Accuracy = 81.08108108108108
Epoch = 100, validation_Loss = 2.845240831375122, Accuracy validation= 66.66666666666667
Epoch = 101, lr = [1.4148200243450439e-08, 0.0]
Epoch = 101, Epoch_Loss = 2.422958481311798, Accuracy = 81.08108108108108
Epoch = 101, validation_Loss = 2.8452408711115518, Accuracy validation= 66.66666666666667
Epoch = 102, lr = [1.266742490687366e-08, 0.0]
Epoch = 102, Epoch_Loss = 2.4229583740234375, Accuracy = 81.08108108108108
Epoch = 102, validation_Loss = 2.845240910847982, Accuracy validation= 66.66666666666667
Epoch = 103, lr = [1.1341630102073647e-08, 0.0]
Epoch = 103, Epoch_Loss = 2.422958266735077, Accuracy = 81.08108108108108
Epoch = 103, validation_Loss = 2.8452409903208413, Accuracy validation= 66.66666666666667
Epoch = 104, lr = [1.0154595296038725e-08, 0.0]
Epoch = 104, Epoch_Loss = 2.422958254814148, Accuracy = 81.08108108108108
Epoch = 104, validation_Loss = 2.845240910847982, Accuracy validation= 66.66666666666667
Epoch = 105, lr = [9.091797625059086e-09, 0.0]
Epoch = 105, Epoch_Loss = 2.422958183288574, Accuracy = 81.08108108108108
Epoch = 105, validation_Loss = 2.845240751902262, Accuracy validation= 66.66666666666667
Epoch = 106, lr = [8.140234213693944e-09, 0.0]
Epoch = 106, Epoch_Loss = 2.4229580760002136, Accuracy = 81.08108108108108
Epoch = 106, validation_Loss = 2.8452411890029907, Accuracy validation= 66.66666666666667
Epoch = 107, lr = [7.288263090145811e-09, 0.0]
Epoch = 107, Epoch_Loss = 2.422957980632782, Accuracy = 81.08108108108108
Epoch = 107, validation_Loss = 2.8452413082122803, Accuracy validation= 66.66666666666667
Epoch = 108, lr = [6.525460751709389e-09, 0.0]
Epoch = 108, Epoch_Loss = 2.4229580402374267, Accuracy = 81.08108108108108
Epoch = 108, validation_Loss = 2.8452412287394204, Accuracy validation= 66.66666666666667
Epoch = 109, lr = [5.842494637669255e-09, 0.0]
Epoch = 109, Epoch_Loss = 2.4229580760002136, Accuracy = 81.08108108108108
Epoch = 109, validation_Loss = 2.8452414671579995, Accuracy validation= 66.66666666666667
Epoch = 110, lr = [5.231008949406702e-09, 0.0]
Epoch = 110, Epoch_Loss = 2.4229578971862793, Accuracy = 81.08108108108108
Epoch = 110, validation_Loss = 2.8452411890029907, Accuracy validation= 66.66666666666667
Epoch = 111, lr = [4.6835224207735185e-09, 0.0]
Epoch = 111, Epoch_Loss = 2.422957921028137, Accuracy = 81.08108108108108
Epoch = 111, validation_Loss = 2.8452415068944297, Accuracy validation= 66.66666666666667
Epoch = 112, lr = [4.19333678799692e-09, 0.0]
Epoch = 112, Epoch_Loss = 2.4229578733444215, Accuracy = 81.08108108108108
Epoch = 112, validation_Loss = 2.84524142742157, Accuracy validation= 66.66666666666667
Epoch = 113, lr = [3.754454839284015e-09, 0.0]
Epoch = 113, Epoch_Loss = 2.4229578971862793, Accuracy = 81.08108108108108
Epoch = 113, validation_Loss = 2.84524138768514, Accuracy validation= 66.66666666666667
Epoch = 114, lr = [3.361507041497739e-09, 0.0]
Epoch = 114, Epoch_Loss = 2.422957968711853, Accuracy = 81.08108108108108
Epoch = 114, validation_Loss = 2.84524138768514, Accuracy validation= 66.66666666666667
Epoch = 115, lr = [3.0096858462129683e-09, 0.0]
Epoch = 115, Epoch_Loss = 2.4229579329490663, Accuracy = 81.08108108108108
Epoch = 115, validation_Loss = 2.8452414671579995, Accuracy validation= 66.66666666666667
Epoch = 116, lr = [2.694686871415486e-09, 0.0]
Epoch = 116, Epoch_Loss = 2.4229578971862793, Accuracy = 81.08108108108108
Epoch = 116, validation_Loss = 2.8452414671579995, Accuracy validation= 66.66666666666667
Epoch = 117, lr = [2.4126562392270237e-09, 0.0]
Epoch = 117, Epoch_Loss = 2.4229578256607054, Accuracy = 81.08108108108108
Epoch = 117, validation_Loss = 2.845241586367289, Accuracy validation= 66.66666666666667
Epoch = 118, lr = [2.1601434253559236e-09, 0.0]
Epoch = 118, Epoch_Loss = 2.4229577779769897, Accuracy = 81.08108108108108
Epoch = 118, validation_Loss = 2.8452414671579995, Accuracy validation= 66.66666666666667
Epoch = 119, lr = [1.934059043406616e-09, 0.0]
Epoch = 119, Epoch_Loss = 2.422957789897919, Accuracy = 81.08108108108108
Epoch = 119, validation_Loss = 2.8452414671579995, Accuracy validation= 66.66666666666667
Epoch = 120, lr = [1.7316370475569627e-09, 0.0]
Epoch = 120, Epoch_Loss = 2.4229577779769897, Accuracy = 81.08108108108108
Epoch = 120, validation_Loss = 2.8452414671579995, Accuracy validation= 66.66666666666667
Epoch = 121, lr = [1.5504008911693687e-09, 0.0]
Epoch = 121, Epoch_Loss = 2.4229578495025637, Accuracy = 81.08108108108108
Epoch = 121, validation_Loss = 2.8452414671579995, Accuracy validation= 66.66666666666667
Epoch = 122, lr = [1.3881332273007407e-09, 0.0]
Epoch = 122, Epoch_Loss = 2.4229578137397767, Accuracy = 81.08108108108108
